"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 29 13:19:15 GMT 2023","Wed Nov 29 13:19:15 GMT 2023","23","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormSearchButtonIsVisible","Check 'Search Button' visibility of Search Form on Home Page",""
"passed","Wed Nov 29 13:19:14 GMT 2023","Wed Nov 29 13:19:15 GMT 2023","1242","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormGuestsSelectorIsVisible","Check 'Guests Selector' visibility of Search Form on Home Page",""
"passed","Wed Nov 29 13:19:17 GMT 2023","Wed Nov 29 13:19:17 GMT 2023","24","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","checkDefaultValuesForTitleLabel","Check 'Title Label' default values of Search Form on Home Page",""
"passed","Wed Nov 29 13:19:16 GMT 2023","Wed Nov 29 13:19:16 GMT 2023","12","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","checkDefaultValuesForCheckOutDate","Check 'Check Out Calendar' default values of Search Form on Home Page",""
"broken","Wed Nov 29 13:19:17 GMT 2023","Wed Nov 29 13:19:17 GMT 2023","12","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","checkDefaultValuesForLocationDropdownLabel","Check 'Location Dropdown' default values of Search Form on Home Page",""
"passed","Wed Nov 29 13:19:12 GMT 2023","Wed Nov 29 13:19:13 GMT 2023","241","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormCheckOutCalendarIsVisible","Check 'Check Out Calendar' visibility of Search Form on Home Page",""
"passed","Wed Nov 29 13:19:16 GMT 2023","Wed Nov 29 13:19:17 GMT 2023","256","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","checkDefaultValuesForGuestsField","Check 'Guests Field' default values of Search Form on Home Page",""
"passed","Wed Nov 29 13:19:15 GMT 2023","Wed Nov 29 13:19:15 GMT 2023","44","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormAmenitiesCheckboxesIsVisible","Check 'Amenities Checkboxes' visibility of Search Form on Home Page",""
"passed","Wed Nov 29 13:19:16 GMT 2023","Wed Nov 29 13:19:16 GMT 2023","536","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","checkDefaultValuesForSubtitleLabel","Check 'Subtitle Label' default values of Search Form on Home Page",""
"passed","Wed Nov 29 13:19:17 GMT 2023","Wed Nov 29 13:19:17 GMT 2023","529","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","checkDefaultValuesForFilters","Check 'Amenities' default values of Search Form on Home Page",""
"passed","Wed Nov 29 13:19:16 GMT 2023","Wed Nov 29 13:19:16 GMT 2023","35","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","checkDefaultValuesForCheckInDate","Check 'Check In Calendar' default values of Search Form on Home Page",""
"passed","Wed Nov 29 13:19:13 GMT 2023","Wed Nov 29 13:19:14 GMT 2023","1253","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormCheckInCalendarIsVisible","Check 'Check In Calendar' visibility of Search Form on Home Page",""
"passed","Wed Nov 29 13:19:15 GMT 2023","Wed Nov 29 13:19:15 GMT 2023","22","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormLocationDropdownIsVisible","Check 'Location Dropdown' visibility of Search Form on Home Page",""
"passed","Wed Nov 29 13:17:59 GMT 2023","Wed Nov 29 13:19:11 GMT 2023","71732","","org.example.alpinizm.tests.home.searchForm.e2e.SearchPropertiesTest","","org.example.alpinizm.tests.home.searchForm.e2e.SearchPropertiesTest","searchProperties","[1] Barcelona, 2023-11-28, 2023-11-30, 2, false, [Air conditioning], 2",""
"passed","Wed Nov 29 13:19:12 GMT 2023","Wed Nov 29 13:19:12 GMT 2023","543","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormSubtitleIsVisible","Check 'Subtitle Label' visibility of Search Form on Home Page",""
"passed","Wed Nov 29 13:19:15 GMT 2023","Wed Nov 29 13:19:15 GMT 2023","24","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormTitleIsVisible","Check 'Title Label' visibility of Search Form on Home Page",""
